,,,2011_2,2012_1,2012_2,2013_1,2013_2,2014_1,2014_2,2015_1,,,,,,
uid,pickup lat,pickup lon,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,Count score,Revenue score,Average revenue,Revenue_Lost,Cluster,
40.75 -73.92,40.75,-73.92,75445,77450,77649,79449,76335,70051,64280,62377,91%,97%,"22,973",27568,7,Queens
40.67 -73.98,40.67,-73.98,60931,66656,66690,71177,74139,72870,54735,45610,93%,101%,"22,414",26896,10,Brooklyn
40.67 -73.8,40.67,-73.8,13196,10015,9835,8263,7716,6925,7449,6689,78%,91%,"9,521",26658,15,Queens
40.74 -73.95,40.74,-73.95,43897,40398,43881,42647,51293,43870,38689,32256,94%,106%,"15,946",22962,10,Queens
40.77 -74,40.77,-74,57399,59319,51269,58630,53958,58382,55258,53331,98%,111%,"18,857",22628,18,New York
40.77 -73.93,40.77,-73.93,55658,56405,53380,52298,49325,46352,44821,42812,89%,93%,"16,352",19622,10,New York
40.68 -73.81,40.68,-73.81,9487,8761,8140,6951,7815,6478,7491,6792,88%,104%,"8,411",18840,13,Queens
40.74 -73.93,40.74,-73.93,33937,37010,33244,31192,29431,26981,25942,25818,86%,93%,"10,731",18028,10,Queens
40.68 -73.97,40.68,-73.97,85416,98030,97568,102959,108358,114183,89004,78302,100%,107%,"32,117",17986,2,Brooklyn
40.81 -73.94,40.81,-73.94,74607,85999,85798,92816,82617,76509,65797,75019,95%,99%,"23,802",17137,28,New York
40.65 -73.81,40.65,-73.81,9650,10267,6561,5748,8253,7854,8047,7799,97%,117%,"9,208",16943,13,Queens
40.74 -73.9,40.74,-73.9,32767,33289,31617,26287,24543,22963,23735,22701,84%,87%,"9,283",14111,7,Queens
40.7 -73.81,40.7,-73.81,8018,6919,6738,5473,5808,5537,6162,5359,88%,104%,"5,466",12245,9,Queens
40.84 -73.94,40.84,-73.94,41142,52097,47392,52016,44162,42844,34942,38958,92%,92%,"19,110",12231,20,New York
40.77 -73.9,40.77,-73.9,35743,38372,40844,38641,39053,38710,34550,33229,96%,101%,"12,993",9355,9,Queens
40.72 -73.87,40.72,-73.87,13137,11868,12922,9500,9418,8728,8960,8422,83%,88%,"4,701",8274,7,Queens
40.7 -74,40.7,-74,10009,9899,8392,8241,8704,7838,7370,6340,85%,95%,"3,205",6410,2,Brooklyn
40.72 -73.86,40.72,-73.86,10229,10016,9941,8536,8523,8079,7610,7167,86%,94%,"3,629",6387,7,Queens
40.79 -73.93,40.79,-73.93,32609,34784,33216,34645,31587,34633,30290,33868,99%,104%,"10,705",5139,10,New York
40.78 -73.9,40.78,-73.9,12971,12027,12188,12193,13128,12978,11039,9963,94%,101%,"4,172",4339,9,Queens
40.65 -73.98,40.65,-73.98,12643,13295,12571,12777,14222,17216,14268,11731,105%,120%,"4,953",3962,10,Brooklyn
40.75 -73.89,40.75,-73.89,32492,31281,29186,26089,27844,27920,28323,29805,96%,97%,"8,933",3573,7,Queens
40.74 -73.87,40.74,-73.87,13067,11832,11709,10527,10844,10452,10329,10118,91%,93%,"3,636",3200,7,Queens
40.81 -73.93,40.81,-73.93,9969,12462,10860,9778,8864,10194,9620,10210,96%,104%,"3,234",3105,28,New York
40.72 -73.94,40.72,-73.94,12975,12345,12609,13446,17651,18469,15177,12842,111%,128%,"4,832",2320,10,Queens
40.74 -73.89,40.74,-73.89,6978,5773,6451,5160,5502,6291,5598,5301,94%,102%,"1,880",2106,7,Queens
40.71 -73.97,40.71,-73.97,17430,22567,24943,29964,34691,30840,23452,16859,110%,123%,"8,244",1979,2,Brooklyn
40.85 -73.94,40.85,-73.94,16353,19209,18547,18992,17744,19637,17738,17440,101%,105%,"7,586",1821,20,New York
40.65 -74,40.65,-74,5373,6091,5568,5386,5970,6165,5893,5570,102%,111%,"2,195",1229,10,Brooklyn
40.67 -73.97,40.67,-73.97,5874,6028,5979,6063,6954,8493,6974,5859,109%,122%,"2,328",745,10,Brooklyn
40.82 -73.92,40.82,-73.92,7040,7589,5792,4888,4404,6091,6106,7935,104%,111%,"2,025",486,3,Bronx
40.82 -73.93,40.82,-73.93,5679,5785,5224,4795,4244,5651,5707,6744,106%,113%,"1,858",149,28,New York
40.64 -73.78,40.64,-73.78,192925,205373,241290,264491,350993,335885,392366,415817,146%,173%,315610,0,15,Queens
40.68 -73.95,40.68,-73.95,35349,41785,46850,52153,67652,85089,69508,63315,142%,158%,"18,270",0,10,Brooklyn
40.82 -73.94,40.82,-73.94,31256,38030,37436,37226,36925,48887,44838,52756,122%,128%,"13,260",0,28,New York
40.71 -73.94,40.71,-73.94,30449,37430,40816,45537,55053,51520,40138,38560,114%,125%,"13,359",0,10,Brooklyn
40.75 -73.87,40.75,-73.87,22224,20698,19701,16372,18492,22452,23644,24289,108%,110%,"6,300",0,7,Queens
40.7 -73.93,40.7,-73.93,7112,10260,12930,18032,26000,28600,22784,21583,186%,203%,"5,856",0,10,Brooklyn
40.67 -73.95,40.67,-73.95,9745,12607,12735,14911,18827,25618,19854,18118,144%,159%,"5,837",0,9,Brooklyn
40.65 -73.95,40.65,-73.95,11115,12676,12448,12445,14301,19690,16998,17385,127%,138%,"5,407",0,9,Brooklyn
40.7 -73.94,40.7,-73.94,8396,10395,11764,13603,16208,19010,16516,17005,141%,154%,"4,334",0,10,Brooklyn
40.7 -73.95,40.7,-73.95,8886,9555,10340,10509,12330,14156,11973,11820,118%,126%,"3,269",0,10,Brooklyn
40.68 -73.94,40.68,-73.94,3250,3712,4005,4340,6144,11263,9458,9554,190%,222%,"2,151",0,10,Brooklyn
40.86 -73.93,40.86,-73.93,6069,7199,6813,7202,7170,8927,8184,8467,115%,124%,"3,089",0,20,New York
40.68 -73.93,40.68,-73.93,2940,3574,4060,4599,6140,9281,7884,8245,174%,197%,"1,905",0,10,Brooklyn
40.71 -73.93,40.71,-73.93,3693,4564,5334,5717,9472,9409,7502,7487,149%,171%,"2,207",0,10,Brooklyn
40.71 -73.92,40.71,-73.92,1714,2283,2455,2816,5305,7090,5668,6118,205%,243%,"1,448",0,9,Queens
40.7 -73.92,40.7,-73.92,1860,2212,2759,2813,4896,5813,5353,5555,182%,211%,"1,311",0,9,Queens
40.85 -73.93,40.85,-73.93,3757,4584,3871,3691,3506,4954,4379,5243,112%,121%,"1,661",0,20,New York
