source_cluster,destination_cluster,hour, count, passengers, fare, trip time, trip distance, JFK trips, credit payments, cash payments
18,23,7,1921,1.55,19.37,17.84,4.47,0,0.8,0.2
28,5,13,587,1.61,26.09,28.81,5.62,0,0.66,0.33
21,18,23,1589,1.71,42.66,25.94,10.01,0,0.79,0.21
3,10,2,28,1.57,22.8,13.79,5.85,0.04,0.39,0.61
12,5,19,7,1.86,34.79,27.29,8.89,0.14,0.86,0.14
3,10,3,33,1.36,26.08,19.03,6.86,0.03,0.42,0.55
20,18,18,74,1.54,22.24,18.19,5.21,0,0.61,0.39
3,13,4,2,1,10.8,6.5,2.51,0,0,1
15,7,21,530,1.83,40.43,30.95,12.57,0.01,0.41,0.58
18,10,3,1869,1.65,14.53,10.67,3.06,0,0.59,0.4
13,10,16,24,1.79,63.23,46.12,15.87,0.92,0.63,0.38
28,10,23,1118,1.67,13.28,11.61,2.53,0,0.52,0.47
2,20,18,51,1.69,48.76,45,13.12,0,0.71,0.29
21,5,18,7285,1.8,46.92,38.5,10.16,0,0.78,0.22
5,15,10,2538,1.81,63.71,45.72,17.73,0.99,0.65,0.34
3,29,6,6,1.83,14.05,9.5,3.67,0,0.17,0.83
23,2,14,2399,1.73,13.01,13.51,2.21,0,0.58,0.41
5,18,10,19607,1.71,13.82,15.71,2.16,0,0.52,0.48
18,7,14,95,1.67,29.05,33.31,6.1,0,0.48,0.52
23,15,16,184,1.62,64.17,77.88,19.32,0.97,0.71,0.28
12,12,22,39,1.69,19.15,7.64,4.08,0.03,0.46,0.41
15,5,12,4255,1.84,62.65,63.8,18.52,0.99,0.51,0.48
23,25,21,8,1.13,88.33,42.88,18.81,0,1,0
5,18,18,30102,1.69,15.78,17.2,2.42,0,0.61,0.38
15,25,11,18,1.89,72.83,40,19.56,0,0.61,0.39
10,23,13,989,1.71,27.29,27.16,5.86,0,0.76,0.24
2,3,4,107,1.62,34.82,22.33,10.42,0.01,0.5,0.49
3,3,9,148,1.75,11.08,18.3,2.23,0,0.32,0.68
7,15,16,33,1.58,54.26,39.97,11.9,0.52,0.55,0.45
21,25,0,20,1.75,65.61,26.2,16.21,0,0.35,0.6
9,21,15,58,1.57,26.73,19.15,6.62,0,0.62,0.36
15,1,2,18,1.89,64.48,27.94,19.36,0,0.5,0.5
15,21,21,225,1.71,40.67,24,11.92,0,0.43,0.56
18,29,16,6,3,73.06,74.17,17.83,0,0.5,0.5
23,18,11,1144,1.7,21.02,22.86,3.86,0,0.69,0.3
7,15,8,35,1.66,45.63,26,12.68,0.11,0.49,0.51
15,15,18,463,1.68,17.05,11.98,4.96,0.05,0.32,0.61
29,21,18,3,1,36.18,25.33,9.58,0.33,0.67,0.33
5,23,6,6695,1.53,11.63,8.71,2.28,0,0.73,0.27
15,21,0,224,1.8,34.36,23.53,10.26,0,0.41,0.58
28,3,2,130,1.58,16.33,12.28,3.92,0,0.34,0.65
3,10,22,59,1.97,30.71,22.07,7.32,0.08,0.49,0.49
20,20,10,76,1.72,8.87,6.67,1.84,0,0.33,0.66
9,15,7,35,1.49,45.78,26.06,12.97,0.11,0.71,0.29
23,21,14,540,1.7,64.77,44.78,13.63,0,0.82,0.18
15,15,21,435,1.74,15.26,10.03,4.78,0.02,0.29,0.65
18,9,17,151,1.65,42.49,43.32,8.94,0,0.68,0.3
15,7,10,254,1.88,42.2,39.14,12.53,0,0.3,0.69
12,9,23,23,1.35,17,13.13,3.58,0,0.57,0.43
15,23,15,304,1.59,68.97,70.9,20.68,0.92,0.7,0.29
9,20,8,20,1.65,33.34,22.85,7.51,0.05,0.55,0.45
2,4,4,3,3,93.48,31.33,18.93,0,0.67,0.33
21,17,11,13,1.77,80.42,30.38,17.39,0,0.69,0.31
3,12,4,11,1.91,17.1,12.73,3.98,0,0.45,0.55
18,12,4,14,2,48.58,29.64,13.85,0,0.79,0.21
28,10,13,991,1.63,13.25,13.07,2.35,0,0.49,0.51
9,20,23,23,1.78,31.87,20.09,7.73,0,0.48,0.52
7,3,6,91,1.49,23,16.38,6.1,0,0.38,0.62
18,23,4,125,1.93,17.91,12.19,4.34,0,0.53,0.47
18,12,6,5,1.2,53.82,26.8,13.71,0,0.6,0.4
28,23,21,48,1.46,29.35,22.46,7.33,0,0.81,0.16
15,26,1,10,1.3,73.16,27.1,19.27,0,0.4,0.6
10,23,22,1020,1.69,25.23,23.05,5.6,0,0.77,0.23
20,5,19,62,2.05,31.43,25.24,7.94,0,0.74,0.26
21,11,1,2,2,139.57,31.5,21.93,0,1,0
2,28,8,53,1.62,35.94,55.23,9.41,0,0.77,0.23
15,5,17,6113,1.85,63.42,63.63,18.19,0.99,0.57,0.42
18,20,17,638,1.73,26.7,28.57,6.13,0,0.58,0.41
2,12,18,63,1.49,27.88,22.76,5.66,0,0.7,0.3
27,11,10,2,1,25.3,26.5,3.8,0,1,0
9,18,21,93,1.88,41.9,25.78,8.91,0.1,0.86,0.14
9,15,3,13,1.62,36.51,20.92,10.9,0.08,0.62,0.38
5,29,2,139,1.77,54.93,32.71,15.76,0.02,0.56,0.42
2,23,9,2889,1.64,12.63,13.94,2.04,0,0.76,0.24
15,5,20,5482,1.84,63.6,42.48,18.19,1,0.64,0.36
3,20,12,18,1.67,14.7,15.78,3.18,0,0.22,0.78
5,13,2,31,1.97,50.19,29.65,14.83,0.03,0.52,0.48
9,9,14,205,1.62,13.81,11.57,2.5,0.01,0.38,0.61
2,21,17,577,1.68,59.2,52.8,13.46,0,0.87,0.13
10,23,2,229,1.79,22.5,35.78,5.22,0,0.66,0.33
18,5,0,11661,1.74,14,12.98,2.61,0,0.62,0.38
29,10,13,4,1.5,45.43,33.75,15.11,0.5,0.75,0.25
9,20,19,11,2.45,42.76,27.55,8.98,0.18,0.64,0.36
3,15,6,35,1.71,36.51,18.6,8.73,0.26,0.63,0.37
23,2,18,2433,1.66,16.25,15.45,2.64,0,0.73,0.27
16,16,1,4,1.5,111.55,0.5,30.53,0,0.25,0
28,3,12,42,1.71,19.95,16.43,4.53,0,0.45,0.55
28,28,21,1312,1.66,9.07,7.68,1.39,0,0.41,0.58
21,2,18,1499,1.78,47.13,40.52,12.06,0,0.8,0.2
28,15,17,40,1.95,65.03,57.63,18.71,1,0.67,0.33
10,1,5,26,1.12,44.44,19.61,12.85,0,0.73,0.27
3,21,1,4,1.25,23.85,20.25,6.12,0,0.5,0.5
5,21,3,844,1.82,48.82,22.72,11.92,0,0.63,0.36
5,8,5,13,2.54,56.46,28,16.47,0,0.62,0.38
7,15,23,4,1.5,35.43,22.25,11.38,0,0.5,0.5
13,21,18,2,1,104.42,52.5,30.18,0,1,0
10,12,14,53,1.64,36.21,32.92,8.25,0,0.53,0.45
18,18,10,20180,1.66,8.75,7.55,1.27,0,0.53,0.47
20,9,20,5,1.2,35.65,20.6,8.17,0,0.6,0.4
23,23,5,284,1.52,9.67,9.99,1.61,0.01,0.66,0.32
7,3,14,61,1.85,20.38,17.59,4.98,0,0.38,0.62
9,20,2,25,1.2,33.72,19.64,9.06,0,0.48,0.52
23,12,17,22,1.91,47.11,43.05,9.34,0.09,0.82,0.18
10,9,16,504,1.75,25.89,24.09,5.01,0,0.56,0.43
23,3,23,230,1.82,47.8,38.52,12.44,0,0.73,0.27
9,29,6,4,1,18.25,13.5,4.85,0,0.5,0.25
7,5,3,147,1.73,22.43,16.71,5.62,0.01,0.42,0.58
5,29,8,43,1.72,58.86,43.56,15.42,0.02,0.67,0.33
20,28,0,179,1.46,12.24,9.02,2.4,0,0.48,0.5
5,22,21,83,1.63,62.23,36.05,15.64,0,0.81,0.19
9,11,19,2,1,94.15,33.5,16.3,0,1,0
15,5,1,2127,1.78,64.45,29.5,17.92,0.99,0.77,0.23
28,10,6,804,1.65,12.35,9.71,2.57,0,0.55,0.45
11,12,23,1,1,15.36,14,2.4,0,1,0
3,21,18,9,1.89,40.39,20,10.33,0,0.44,0.56
21,5,8,6748,1.77,51,48.79,10.81,0,0.81,0.19
3,15,7,19,1.58,39.06,18.37,9.07,0.26,0.42,0.53
28,1,22,10,1.6,29.65,22.2,9.32,0,0.3,0.7
28,11,4,1,1,77.88,79,21.98,0,1,0
